code,habitat,level,geometry
g,Grassland,2,Area
g1,Acid grassland,3,Area
g1a,Lowland dry acid grassland,4,Area
g1a5,Inland dunes with open grasslands (H2330),5,Area
g1a6,Other lowland dry acid grassland,5,Area
g1b,Upland acid grassland,4,Area
g1b5,Montane acid grasslands (H6150),5,Area
g1b5p,Woolly fringmoss Matt-grass grassland,5,Area
g1b6,Other upland acid grassland,5,Area
g1b6p,Hyperoceanic upland acid grassland,5,Area
g1b6q,Widespread upland acid grassland,5,Area
g1c,Bracken,4,Area
g1d,Other lowland acid grassland,4,Area
g1e,Species-poor Purple moor-grass grassland,4,Area
g2,Calcareous grassland,3,Area
g2a,Lowland calcareous grassland,4,Area
g2a5,Dry grasslands and scrub on chalk or limestone  –  lowland (H6210),5,Area
g2a6,Dry grasslands and scrub on chalk or limestone  –  important orchid sites (H6210),5,Area
g2b,Upland calcareous grassland,4,Area
g2b5,Alpine and subalpine calcareous grasslands (H6170),5,Area
g2b6,Species-rich grassland with mat-grass in upland areas (H6230),5,Area
g2b7,Dry grasslands and scrub on chalk or limestone  –  upland (H6210),5,Area
g2c,Other calcareous grassland,4,Area
g3,Neutral grassland,3,Area
g3a,Lowland meadows,4,Area
g3a5,Lowland hay meadows (H6510),5,Area
g3a6,Other lowland meadows,5,Area
g3b,Upland hay meadows,4,Area
g3b5,Mountain hay meadows (H6520),5,Area
g3c,Other neutral grassland,4,Area
g3c3,Earlysuccessional neutral grassland,5,Area
g3c4,Red fescue grassland,5,Area
g3c5,Arrhenatherum neutral grassland,5,Area
g3c6,Lolium-Cynosurus neutral grassland,5,Area
g3c7,Deschampsia neutral grassland,5,Area
g3c8,Holcus-Juncus neutral grassland,5,Area
g3c9,Wet meadow neutral grassland,5,Area
g4,Modified grassland,3,Area
w,Woodland and forest,2,"Area,Line"
w1,Broadleaved and mixed woodland,3,"Area,Line"
w1a,Upland oakwood,4,Area
w1a5,Western acidic oak woodland (H91A0),5,Area
w1b,Upland mixed ashwoods,4,Area
w1b5,Lime-maple woodlands of rocky slopes (H9180),5,Area
w1b6,Other upland mixed ashwoods,5,Area
w1c,Lowland beech and yew woodland,4,Area
w1c5,Beech forests on acid soils (H9120),5,Area
w1c6,Beech forests on neutral to rich soils (H9130),5,Area
w1c7,Yew-dominated woodland (H91J0),5,Area
w1c8,Natural box scrub (H5110),5,Area
w1d,Wet woodland,4,Area
w1d5,Alder woodland on floodplains (H91E0),5,Area
w1d6,Bog woodland (H91D0),5,Area
w1e,Upland birchwoods,4,Area
w1f,Lowland mixed deciduous woodland,4,Area
w1f5,Dry oak-dominated woodland (H9190),5,Area
w1f6,Oak-hornbeam forests (H9160),5,Area
w1f7,Other Lowland mixed deciduous woodland,5,Area
w1g,Other broadleaved woodland,4,"Area,Line"
w1h,Other woodland  –  mixed,4,"Area,Line"
w1h5,Other woodland  –  mixed  –  mainly broadleaved,5,"Area,Line"
w1h6,Other woodland  –  mixed  –  mainly conifer,5,"Area,Line"
w2,Coniferous woodland,3,"Area,Line"
w2a,Native pine woodlands,4,Area
w2a5,Caledonian forest (H91C0),5,Area
w2b,Other Scot's Pine woodland,4,"Area,Line"
w2c,Other coniferous woodland,4,"Area,Line"
h,Heathland and shrub,2,"Area,Line"
h1,Dwarf shrub heath,3,Area
h1a,Lowland Heathland,4,Area
h1a5,Dry heaths  –  lowland (H4030),5,Area
h1a6,Dry coastal heaths with Cornish heath (H4040),5,Area
h1a7,Wet heathland with cross-leaved heath  –   lowland (H4010),5,Area
h1a8,Wet heathland with Dorset heath and cross-leaved heath (H4020),5,Area
h1b,Upland Heathland,4,Area
h1b5,Dry heaths  –  upland (H4030),5,Area
h1b6,Wet heathland with cross-leaved heath  –   upland (H4010),5,Area
h1c,Mountain heaths and willow scrub,4,Area
h1c5,Alpine and subalpine heaths (H4060),5,Area
h1c5p,Sub-oceanic mountain heaths,5,Area
h1c5q,Oceanic mountain heaths,5,Area
h1c6,Mountain willow scrub (H4080),5,Area
h2,Hedgerows,3,Line
h2a,Native hedgerow,4,Line
h2a5,Species-rich native hedgerow,5,Line
h2a6,Other native hedgerow,5,Line
h2b,Non-native and ornamental hedgerow,4,Line
h3,Dense scrub,3,Area
h3a,Blackthorn scrub,4,Area
h3a5,West coast blackthorn scrub,5,Area
h3a6,Other blackthorn scrub,5,Area
h3b,Hazel scrub,4,Area
h3b5,Atlantic hazel,5,Area
h3b6,Other hazel scrub,5,Area
h3c,Sea-buckthorn scrub,4,Area
h3c5,Dunes with sea-buckthorn (H2160),5,Area
h3c6,Other sea-buckthorn scrub,5,Area
h3d,Bramble scrub,4,Area
h3e,Gorse scrub,4,Area
h3f,Hawthorn scrub,4,Area
h3g,Rhododendron scrub,4,Area
h3h,Mixed scrub,4,Area
h3j,Willow scrub,4,Area
h3k,Juniper scrub,4,Area
f,Wetland,2,Area
f1,Bog,3,Area
f1a,Blanket bog,4,Area
f1a5,Blanket bog (H7130),5,Area
f1a6,Degraded blanket bog,5,Area
f1b,Lowland raised bog,4,Area
f1b5,Active raised bogs (H7110),5,Area
f1b6,Degraded raised bog (H7120),5,Area
f1b7,Other degraded raised bog,5,Area
f2,Fen marsh and swamp,3,Area
f2a,Lowland fens,4,"Area,Line"
f2a5,Calcium-rich fen dominated by great fen-sedge (H7210),5,Area
f2a6,Hard-water springs depositing lime  –  lowland (H7220),5,"Area,Line,Point"
f2a7,Calcium-rich springwater-fed fens  –  lowland (H7230),5,"Area,Line,Point"
f2a8,Transition mires and quaking bogs  –  lowland (H7140),5,Area
f2b,Purple moor-grass and rush pastures,4,Area
f2b5,Purple moor-grass meadows (H6410),5,Area
f2c,Upland flushes fens and swamps,4,"Area,Line,Point"
f2c5,Alpine pioneer formations (H7240),5,Area
f2c6,Hard-water springs depositing lime  –  upland (H7220),5,"Area,Line,Point"
f2c7,Calcium-rich springwater-fed fens  –  upland (H7230),5,"Area,Line,Point"
f2c8,Transition mires and quaking bogs  –  upland (H7140),5,Area
f2d,Aquatic marginal vegetation,4,"Area,Line"
f2e,Reedbeds,4,Area
f2f,Other wetlands,4,"Area,Line"
c,Cropland,2,"Area,Line"
c1,Arable and horticulture,3,"Area,Line"
c1a,Arable field margins,4,"Area,Line"
c1a5,Arable field margins  tussocky,5,"Area,Line"
c1a6,Arable field margins  pollen and nectar,5,"Area,Line"
c1a7,Arable field margins cultivated annually,5,"Area,Line"
c1a8,Arable field margins wild bird mix,5,"Area,Line"
c1b,Temporary grass and clover leys,4,Area
c1b5,Rye-grass and clover ley,5,Area
c1b6,Legume-rich ley,5,Area
c1b7,Herb-rich ley,5,Area
c1c,Cereal crops,4,Area
c1c5,Winter stubble,5,Area
c1c6,Arable fields with wild bird mix,5,Area
c1c7,Other cereal crops,5,Area
c1c8,Arable fields  pollen and nectar,5,Area
c1c9,Arable fields  cultivated for annual flora,5,Area
c1d,Non-cereal crops,4,Area
c1d5,Miscanthus,5,Area
c1d6,Short-rotation coppice,5,Area
c1d7,Vineyards,5,Area
c1d8,Other non-cereal crops,5,Area
c1e,Intensive orchards,4,Area
c1f,Horticulture,4,Area
c1f5,Annuals horticulture,5,Area
c1f6,Perennials horticulture,5,Area
c1f7,Polyculture,5,Area
u,Urban,2,"Area,Line,Point"
u1,Built-up areas and gardens,3,"Area,Line,Point"
u1b,Developed land – sealed surface,4,"Area,Line,Point"
u1b5,Buildings,5,"Area,Point"
u1b6,Other developed land,5,"Area,Line,Point"
u1c,Artificial unvegetated –  unsealed surface,4,"Area,Line,Point"
u1d,Suburban  mosaic of developed and natural surface,4,Area
u1e,Built linear features,4,Line
u1f,Sparsely vegetated urban land,4,"Area,Line"
s,Sparsely vegetated land,2,"Area,Line"
s1,Inland rock,3,"Area,Line"
s1a,Inland rock outcrop and scree habitats,4,"Area,Line"
s1a5,Acidic scree (H8110),5,Area
s1a6,Base-rich scree (H8120),5,Area
s1a7,Plants in crevices in base-rich rocks (H8210),5,"Area,Line,Point"
s1a8,Plants in crevices in acid rocks (H8220),5,"Area,Line,Point"
s1a9,Tall herb communities (H6430),5,"Area,Point"
s1b,Limestone pavement,4,"Area,Point"
s1b5,Limestone pavements (H8240),5,"Area,Point"
s1c,Calaminarian grasslands,4,Area
s1c5,Grasslands on soils rich in heavy metals (H6130),5,Area
s1d,Other inland rock and scree,4,"Area,Line,Point"
s2,Supralittoral Rock,3,"Area,Line"
s2a,Maritime cliffs and slopes,4,"Area,Line"
s2a5,Vegetated sea cliffs (H1230),5,"Area,Line"
s2a6,Soft rock sea cliffs,5,"Area,Line"
s3,Supralittoral Sediment,3,"Area,Line"
s3a,Sand dunes,4,"Area,Line"
s3a3,Humid dune slacks (H2190),5,Area
s3a4,Dunes with juniper thickets (H2550),5,Area
s3a5,Embryonic shifting dunes (H2110),5,"Area,Line"
s3a6,Shifting dunes with marram (H2120),5,Area
s3a7,Dune grassland (H2130),5,Area
s3a8,Lime-deficient dune heathland with crowberry (H2140),5,Area
s3a9,Coastal dune heathland (H2150),5,Area
s3b,Coastal vegetated shingle,4,"Area,Line"
s3b5,Perennial vegetation on coastal shingle (H1220),5,"Area,Line"
s3b6,Annual vegetation of drift lines (H1210),5,"Area,Line"
r,Rivers and lakes,2,"Area,Line"
r1,Standing open water and canals,3,"Area,Line"
r1a,Eutrophic standing waters,4,Area
r1a5,Naturally nutrient-rich lakes or lochs (H3150),5,Area
r1a6,Other eutrophic standing waters,5,"Area,Line,Point"
r1b,Mesotrophic lakes,4,Area
r1b5,Calcium-rich nutrient-poor lakes lochs and pools (H3140),5,Area
r1c,Oligotrophic and dystrophic lakes,4,"Area,Point"
r1c5,Clear-water lakes or lochs with aquatic vegetation (H3130),5,"Area,Point"
r1c6,Nutrient-poor shallow waters with aquatic vegetation on sand (H3110),5,"Area,Point"
r1c7,Acid peat-stained lakes and ponds (H3160),5,"Area,Point"
r1d,Aquifer-fed naturally fluctuating water bodies,4,"Area,Point"
r1d5,Turlough (H3180),5,"Area,Point"
r1d6,Fluctuating meres,5,"Area,Point"
r1d7,Blow wells,5,"Area,Point"
r1e,Canals,4,Area
r1f,Temporary water bodies,4,"Area,Point"
r1f5,Mediterranean temporary ponds (H3170),5,"Area,Point"
r1f6,Other temporary ponds and scrapes,5,"Area,Point"
r1g,Other standing water,4,"Area,Line,Point"
r2,Rivers and streams,3,"Area,Line"
r2a,Rivers (priority habitat),4,"Area,Line"
r2a5,Rivers with floating vegetation (H3260),5,"Area,Line"
r2a6,Other priority habitat rivers,5,"Area,Line"
r2b,Other rivers and streams,4,"Area,Line"
t,Marine inlets and transitional waters,2,"Area,Line,Point"
t1,Littoral Rock,3,"Area,Line,Point"
t1a,Intertidal chalk,4,Area
t1b,Sabellaria alveolata reefs,4,"Area,Line"
t1c,Intertidal underboulder communities,4,"Area,Line,Point"
t1d,Estuarine rocky habitats,4,"Area,Line,Point"
t1e,Splash zone with lichens,4,"Area,Line"
t1f,Other littoral rock,4,"Area,Line"
t2,Littoral Sediment,3,Area
t2a,Coastal saltmarsh,4,Area
t2a5,Glasswort and other annuals colonising mud and sand (H1310),5,Area
t2a6,Cord-grass swards (H1320),5,Area
t2a7,Atlantic salt meadows (H1330),5,Area
t2a8,Mediterranean saltmarsh scrub (H1420),5,Area
t2b,Blue mussel beds on sediment,4,Area
t2c,Seagrass beds [Zostera noltei],4,Area
t2d,Intertidal mudflats,4,Area
t2d5,Intertidal mudflats and sandflats (H1140),5,Area
t2e,Sheltered muddy gravels,4,Area
t2f,Peat and clay exposures with piddocks,4,Area
t2g,Saline lagoons,4,"Area,Point"
t2g5,Saline lagoons (H1150),5,"Area,Point"
t2h,Beach,4,Area
