code,name,habitats,geometry
815,Commercial building,u,Area
816,Commercial premises open space,"g,w,h,f,u,s,r",Area
817,Industrial building,u,Area
818,Residential building,u1b5,Area
819,Residential premises open space,"g,w,h,f,u,s,r",Area
820,Natural sports pitches,"g,u,s",Area
821,Artificial sports pitches,u1,Area
822,Recreation ground,"g,u",Area
823,Children's Play Space,"g,u","Area,Point"
824,Adventure playground,"g,w,s,r,u","Area,Point"
825,Ruined building,"g,w,h,u,s","Area,Point"
826,Castle or historic building or monument,"g,w,u,c","Area,Line"
827,Garden,"g,w,h,f,u,s,r",Area
828,Vegetated garden,"g,w,h,f,u,s,r",Area
829,Unvegetated garden,u1,Area
830,Community garden,c,Area
831,Landfill,"g,w,h,u,s",Area
832,Airport,u,Area
833,Barn,u,"Area,Point"
834,Oil or gas drilling or extraction,"g,w,h,f,c,u,s,r,t",Area
835,Mine,"g,w,h,c,u,s,r,t",Area
836,Quarry hard rock,"g,w,h,f,s,r",Area
837,Quarry sand and gravel,"g,w,h,f,s,r",Area
838,Disused quarry,"g,w,h,s,u","Area,Line"
839,Track,"g,w,h,f,c,u,s","Area,Line"
840,Caravan park or permanent campsite,"g,h,u",Area
841,Green wall,u1b5,Line
842,Ground-based green wall,u1b5,Line
843,Facade-bound green wall,u1b5,Line
844,Balcony green,u1b5,Point
845,Ground level planters,u1,"Area,Point"
846,Flower bed,u1,"Area,Point"
847,Introduced shrub,u1,"Area,Point"
848,Sustainable drainage system,"g,f,s","Area,Point"
849,Bioswale,"g,f,s","Area,Line,Point"
850,Rain garden,"g,f,s","Area,Point"
851,Culvert,u1,Point
852,Water treatment filter bed,u1,"Area,Point"
853,Mortared wall,u1e,Line
